"ISO3 Code","País","Región","Subregión ","Subregión detallada","Grupo de Ingresos del Banco Mundial ","¿Es miembro de la OIT? ","¿Incluido en las estimaciones de la OIT? "
"AFG","Afganist?n","Asia y el Pac?fico","Asia meridonal","Asia meridonal","Ingreso bajo","Si","Si"
"ALB","Albania","Europa y Asia Central","Europa del Norte, Sur y Occidental","Sur de Europa","Ingreso mediano alto","Si","Si"
"DZA","Argelia","?frica","Norte de ?frica","Norte de ?frica","Ingreso mediano bajo","Si","Si"
"ASM","Samoa Americana","Asia y el Pac?fico","Asia sudoriental y el Pac?fico","Islas del Pac?fico","Ingreso mediano alto","No","No"
"AND","Andorra","Europa y Asia Central","Europa del Norte, Sur y Occidental","Sur de Europa","Ingreso alto","No","No"
"AGO","Angola","?frica","?frica subsahariana","?frica central","Ingreso mediano bajo","Si","Si"
"AIA","Anguilla","Am?ricas","Am?rica Latina y el Caribe","Caribe","Ingreso mediano alto","No","No"
"ATG","Antigua y Barbuda","Am?ricas","Am?rica Latina y el Caribe","Caribe","Ingreso alto","Si","No"
"ARG","Argentina","Am?ricas","Am?rica Latina y el Caribe","Am?rica del Sur","Ingreso mediano alto","Si","Si"
"ARM","Armenia","Europa y Asia Central","Asia Central y Occidental","Asia occidental","Ingreso mediano alto","Si","Si"
"ABW","Aruba","Am?ricas","Am?rica Latina y el Caribe","Caribe","Ingreso alto","No","No"
"AUS","Australia","Asia y el Pac?fico","Asia sudoriental y el Pac?fico","Islas del Pac?fico","Ingreso alto","Si","Si (*)"
"AUT","Austria","Europa y Asia Central","Europa del Norte, Sur y Occidental","Europa occidental","Ingreso alto","Si","Si (*)"
"AZE","Azerbaiy?n","Europa y Asia Central","Asia Central y Occidental","Asia occidental","Ingreso mediano alto","Si","Si"
"BHS","Bahamas","Am?ricas","Am?rica Latina y el Caribe","Caribe","Ingreso alto","Si","Si"
"BHR","Bahrein","Estados ?rabes","Estados ?rabes","Estados ?rabes","Ingreso alto","Si","Si"
"BGD","Bangladesh","Asia y el Pac?fico","Asia meridonal","Asia meridonal","Ingreso mediano bajo","Si","Si"
"BRB","Barbados","Am?ricas","Am?rica Latina y el Caribe","Caribe","Ingreso alto","Si","Si"
"BLR","Belar?s","Europa y Asia Central","Europa oriental","Europa oriental","Ingreso mediano alto","Si","Si"
"BEL","B?lgica","Europa y Asia Central","Europa del Norte, Sur y Occidental","Europa occidental","Ingreso alto","Si","Si (*)"
"BLZ","Belice","Am?ricas","Am?rica Latina y el Caribe","Am?rica Central","Ingreso mediano bajo","Si","Si"
"BEN","Benin","?frica","?frica subsahariana","?frica Occidental","Ingreso mediano bajo","Si","Si"
"BMU","Bermudas","Am?ricas","Am?rica del Norte","Am?rica del Norte","Ingreso alto","No","No"
"BTN","Bhut?n","Asia y el Pac?fico","Asia meridonal","Asia meridonal","Ingreso mediano bajo","No","Si"
"BOL","Bolivia","Am?ricas","Am?rica Latina y el Caribe","Am?rica del Sur","Ingreso mediano bajo","Si","Si"
"BIH","Bosnia y Herzegovina","Europa y Asia Central","Europa del Norte, Sur y Occidental","Sur de Europa","Ingreso mediano alto","Si","Si"
"BWA","Botswana","?frica","?frica subsahariana","?frica del Sur","Ingreso mediano alto","Si","Si"
"BRA","Brasil","Am?ricas","Am?rica Latina y el Caribe","Am?rica del Sur","Ingreso mediano alto","Si","Si"
"VGB","Islas V?rgenes brit?nicas","Am?ricas","Am?rica Latina y el Caribe","Caribe","Ingreso alto","No","No"
"BRN","Brunei Darussalam","Asia y el Pac?fico","Asia sudoriental y el Pac?fico","Asia Sudoriental","Ingreso alto","No","Si"
