Country Name,ISO3 Code,Region Name,Sub-region Name,Year,Internet users (%),Grupo de Ingresos,Fixed broadband subscriptions (per 100 people),Number of internet users,Nivel Ingresos
Afghanistan,AFG,Asia,Southern Asia,1990,0.0,Ingreso bajo,,0.0,0.0
Afghanistan,AFG,Asia,Southern Asia,1991,0.0,Ingreso bajo,,,0.0
Afghanistan,AFG,Asia,Southern Asia,1992,0.0,Ingreso bajo,,,0.0
Afghanistan,AFG,Asia,Southern Asia,1993,0.0,Ingreso bajo,,,0.0
Afghanistan,AFG,Asia,Southern Asia,1994,0.0,Ingreso bajo,,,0.0
Afghanistan,AFG,Asia,Southern Asia,1995,0.0,Ingreso bajo,,,0.0
Afghanistan,AFG,Asia,Southern Asia,2001,0.004722568,Ingreso bajo,,990.0,0.0
Afghanistan,AFG,Asia,Southern Asia,2002,0.004561395,Ingreso bajo,,1003.0,0.0
Afghanistan,AFG,Asia,Southern Asia,2003,0.087891253,Ingreso bajo,,20272.0,0.0
Afghanistan,AFG,Asia,Southern Asia,2004,0.10580903,Ingreso bajo,0.000808843,25520.0,0.0
Afghanistan,AFG,Asia,Southern Asia,2005,1.224148084,Ingreso bajo,0.000857557,306904.0,0.0
Afghanistan,AFG,Asia,Southern Asia,2006,2.107123645,Ingreso bajo,0.001891571,545607.0,0.0
Afghanistan,AFG,Asia,Southern Asia,2007,1.9,Ingreso bajo,0.001844982,505719.0,0.0
Afghanistan,AFG,Asia,Southern Asia,2008,1.84,Ingreso bajo,0.001803604,502210.0,0.0
Afghanistan,AFG,Asia,Southern Asia,2009,3.55,Ingreso bajo,0.00352177,994154.0,0.0
Afghanistan,AFG,Asia,Southern Asia,2010,4.0,Ingreso bajo,0.005139537,1152127.0,0.0
Afghanistan,AFG,Asia,Southern Asia,2011,5.0,Ingreso bajo,,1485430.0,0.0
Afghanistan,AFG,Asia,Southern Asia,2012,5.454545455,Ingreso bajo,0.004813651,1674380.0,0.0
Afghanistan,AFG,Asia,Southern Asia,2013,5.9,Ingreso bajo,0.004648339,1872170.0,0.0
Afghanistan,AFG,Asia,Southern Asia,2014,7.0,Ingreso bajo,0.004494948,2293061.0,0.0
Afghanistan,AFG,Asia,Southern Asia,2015,8.26,Ingreso bajo,0.020535484,2786634.0,0.0
Albania,ALB,Europe,Southern Europe,1990,0.0,Ingreso mediano alto,,0.0,2.0
Albania,ALB,Europe,Southern Europe,1991,0.0,Ingreso mediano alto,,,2.0
Albania,ALB,Europe,Southern Europe,1992,0.0,Ingreso mediano alto,,,2.0
Albania,ALB,Europe,Southern Europe,1993,0.0,Ingreso mediano alto,,,2.0
Albania,ALB,Europe,Southern Europe,1994,0.0,Ingreso mediano alto,,,2.0
Albania,ALB,Europe,Southern Europe,1995,0.011168695,Ingreso mediano alto,,347.0,2.0
Albania,ALB,Europe,Southern Europe,1996,0.032196828,Ingreso mediano alto,,996.0,2.0
Albania,ALB,Europe,Southern Europe,1997,0.048593919,Ingreso mediano alto,,1503.0,2.0
Albania,ALB,Europe,Southern Europe,1998,0.06502737,Ingreso mediano alto,,2018.0,2.0
Albania,ALB,Europe,Southern Europe,1999,0.081437045,Ingreso mediano alto,,2537.0,2.0
Albania,ALB,Europe,Southern Europe,2000,0.114097347,Ingreso mediano alto,,3562.0,2.0
Albania,ALB,Europe,Southern Europe,2001,0.325798377,Ingreso mediano alto,,10173.0,2.0
Albania,ALB,Europe,Southern Europe,2002,0.390081273,Ingreso mediano alto,,12167.0,2.0
Albania,ALB,Europe,Southern Europe,2003,0.971900415,Ingreso mediano alto,,30236.0,2.0
Albania,ALB,Europe,Southern Europe,2004,2.420387798,Ingreso mediano alto,,74977.0,2.0
Albania,ALB,Europe,Southern Europe,2005,6.043890864,Ingreso mediano alto,0.008811686,186102.0,2.0
Albania,ALB,Europe,Southern Europe,2006,9.609991316,Ingreso mediano alto,,293521.0,2.0
Albania,ALB,Europe,Southern Europe,2007,15.03611541,Ingreso mediano alto,0.329598108,454678.0,2.0
Albania,ALB,Europe,Southern Europe,2008,23.86,Ingreso mediano alto,2.131430676,713808.0,2.0
Albania,ALB,Europe,Southern Europe,2009,41.2,Ingreso mediano alto,3.094467361,1220606.0,2.0
Albania,ALB,Europe,Southern Europe,2010,45.0,Ingreso mediano alto,3.579992422,1323236.0,2.0
Albania,ALB,Europe,Southern Europe,2011,49.0,Ingreso mediano alto,4.377871687,1434063.0,2.0
Albania,ALB,Europe,Southern Europe,2012,54.65595904,Ingreso mediano alto,5.493573307,1595975.0,2.0
Albania,ALB,Europe,Southern Europe,2013,57.2,Ingreso mediano alto,6.286818262,1669655.0,2.0
