Region Name,Sub-region Name,Country Name,ISO3 Code,Grupo de Ingresos del Banco Mundial 
Africa,Northern Africa,Algeria,DZA,Ingreso mediano bajo
Africa,Northern Africa,Egypt,EGY,Ingreso mediano bajo
Africa,Northern Africa,Libya,LBY,Ingreso mediano alto
Africa,Northern Africa,Morocco,MAR,Ingreso mediano bajo
Africa,Northern Africa,Sudan,SDN,Ingreso bajo
Africa,Northern Africa,Tunisia,TUN,Ingreso mediano bajo
Africa,Northern Africa,Western Sahara,ESH,Ingreso mediano bajo
Africa,Sub-Saharan Africa,Burundi,BDI,Ingreso bajo
Africa,Sub-Saharan Africa,Comoros,COM,Ingreso mediano bajo
Africa,Sub-Saharan Africa,Djibouti,DJI,Ingreso mediano bajo
Africa,Sub-Saharan Africa,Eritrea,ERI,Ingreso bajo
Africa,Sub-Saharan Africa,Ethiopia,ETH,Ingreso bajo
Africa,Sub-Saharan Africa,Kenya,KEN,Ingreso mediano bajo
Africa,Sub-Saharan Africa,Madagascar,MDG,Ingreso bajo
Africa,Sub-Saharan Africa,Malawi,MWI,Ingreso bajo
Africa,Sub-Saharan Africa,Mauritius,MUS,Ingreso mediano alto
Africa,Sub-Saharan Africa,Mayotte,MYT,Ingreso mediano bajo
Africa,Sub-Saharan Africa,Mozambique,MOZ,Ingreso bajo
Africa,Sub-Saharan Africa,Réunion,REU,Ingreso alto
Africa,Sub-Saharan Africa,Rwanda,RWA,Ingreso bajo
Africa,Sub-Saharan Africa,Seychelles,SYC,Ingreso alto
Africa,Sub-Saharan Africa,Somalia,SOM,Ingreso bajo
Africa,Sub-Saharan Africa,South Sudan,SSD,Ingreso bajo
Africa,Sub-Saharan Africa,Uganda,UGA,Ingreso bajo
Africa,Sub-Saharan Africa,United Republic of Tanzania,TZA,Ingreso mediano bajo
Africa,Sub-Saharan Africa,Zambia,ZMB,Ingreso mediano bajo
Africa,Sub-Saharan Africa,Zimbabwe,ZWE,Ingreso mediano bajo
Africa,Sub-Saharan Africa,Angola,AGO,Ingreso mediano bajo
Africa,Sub-Saharan Africa,Cameroon,CMR,Ingreso mediano bajo
Africa,Sub-Saharan Africa,Central African Republic,CAF,Ingreso bajo
Africa,Sub-Saharan Africa,Chad,TCD,Ingreso bajo
Africa,Sub-Saharan Africa,Congo,COG,Ingreso mediano bajo
Africa,Sub-Saharan Africa,Democratic Republic of the Congo,COD,Ingreso bajo
Africa,Sub-Saharan Africa,Equatorial Guinea,GNQ,Ingreso mediano alto
Africa,Sub-Saharan Africa,Gabon,GAB,Ingreso mediano alto
Africa,Sub-Saharan Africa,Sao Tome and Principe,STP,Ingreso mediano bajo
Africa,Sub-Saharan Africa,Botswana,BWA,Ingreso mediano alto
Africa,Sub-Saharan Africa,Eswatini,SWZ,Ingreso mediano bajo
Africa,Sub-Saharan Africa,Lesotho,LSO,Ingreso mediano bajo
Africa,Sub-Saharan Africa,Namibia,NAM,Ingreso mediano alto
Africa,Sub-Saharan Africa,South Africa,ZAF,Ingreso mediano alto
Africa,Sub-Saharan Africa,Benin,BEN,Ingreso mediano bajo
Africa,Sub-Saharan Africa,Burkina Faso,BFA,Ingreso bajo
Africa,Sub-Saharan Africa,Cabo Verde,CPV,Ingreso mediano bajo
Africa,Sub-Saharan Africa,Côte d’Ivoire,CIV,Ingreso mediano bajo
Africa,Sub-Saharan Africa,Gambia,GMB,Ingreso bajo
Africa,Sub-Saharan Africa,Ghana,GHA,Ingreso mediano bajo
Africa,Sub-Saharan Africa,Guinea,GIN,Ingreso bajo
Africa,Sub-Saharan Africa,Guinea-Bissau,GNB,Ingreso bajo
Africa,Sub-Saharan Africa,Liberia,LBR,Ingreso bajo
Africa,Sub-Saharan Africa,Mali,MLI,Ingreso bajo
Africa,Sub-Saharan Africa,Mauritania,MRT,Ingreso mediano bajo
Africa,Sub-Saharan Africa,Niger,NER,Ingreso bajo
Africa,Sub-Saharan Africa,Nigeria,NGA,Ingreso mediano bajo
Africa,Sub-Saharan Africa,Saint Helena,SHN,Ingreso mediano bajo
Africa,Sub-Saharan Africa,Senegal,SEN,Ingreso mediano bajo
Africa,Sub-Saharan Africa,Sierra Leone,SLE,Ingreso bajo
Africa,Sub-Saharan Africa,Togo,TGO,Ingreso bajo
Americas,Latin America and the Caribbean,Anguilla,AIA,Ingreso mediano alto
Americas,Latin America and the Caribbean,Antigua and Barbuda,ATG,Ingreso alto
Americas,Latin America and the Caribbean,Aruba,ABW,Ingreso alto
Americas,Latin America and the Caribbean,Bahamas,BHS,Ingreso alto
Americas,Latin America and the Caribbean,Barbados,BRB,Ingreso alto
Americas,Latin America and the Caribbean,British Virgin Islands,VGB,Ingreso alto
Americas,Latin America and the Caribbean,Cayman Islands,CYM,Ingreso alto
Americas,Latin America and the Caribbean,Cuba,CUB,Ingreso mediano alto
Americas,Latin America and the Caribbean,Curaçao,CUW,Ingreso alto
Americas,Latin America and the Caribbean,Dominica,DMA,Ingreso mediano alto
Americas,Latin America and the Caribbean,Dominican Republic,DOM,Ingreso mediano alto
Americas,Latin America and the Caribbean,Grenada,GRD,Ingreso mediano alto
Americas,Latin America and the Caribbean,Guadeloupe,GLP,Ingreso mediano alto
Americas,Latin America and the Caribbean,Haiti,HTI,Ingreso mediano bajo
Americas,Latin America and the Caribbean,Jamaica,JAM,Ingreso mediano alto
Americas,Latin America and the Caribbean,Martinique,MTQ,Ingreso alto
Americas,Latin America and the Caribbean,Montserrat,MSR,Ingreso mediano alto
Americas,Latin America and the Caribbean,Puerto Rico,PRI,Ingreso alto
Americas,Latin America and the Caribbean,Saint Kitts and Nevis,KNA,Ingreso alto
Americas,Latin America and the Caribbean,Saint Lucia,LCA,Ingreso mediano alto
Americas,Latin America and the Caribbean,Saint Martin (French Part),MAF,Ingreso alto
Americas,Latin America and the Caribbean,Saint Vincent and the Grenadines,VCT,Ingreso mediano alto
Americas,Latin America and the Caribbean,Sint Maarten (Dutch part),SXM,Ingreso alto
Americas,Latin America and the Caribbean,Trinidad and Tobago,TTO,Ingreso alto
Americas,Latin America and the Caribbean,Turks and Caicos Islands,TCA,Ingreso alto
Americas,Latin America and the Caribbean,United States Virgin Islands,VIR,Ingreso alto
Americas,Latin America and the Caribbean,Belize,BLZ,Ingreso mediano bajo
Americas,Latin America and the Caribbean,Costa Rica,CRI,Ingreso mediano alto
Americas,Latin America and the Caribbean,El Salvador,SLV,Ingreso mediano bajo
Americas,Latin America and the Caribbean,Guatemala,GTM,Ingreso mediano alto
Americas,Latin America and the Caribbean,Honduras,HND,Ingreso mediano bajo
Americas,Latin America and the Caribbean,Mexico,MEX,Ingreso mediano alto
Americas,Latin America and the Caribbean,Nicaragua,NIC,Ingreso mediano bajo
Americas,Latin America and the Caribbean,Panama,PAN,Ingreso mediano alto
Americas,Latin America and the Caribbean,Argentina,ARG,Ingreso mediano alto
Americas,Latin America and the Caribbean,Bolivia (Plurinational State of),BOL,Ingreso mediano bajo
Americas,Latin America and the Caribbean,Brazil,BRA,Ingreso mediano alto
Americas,Latin America and the Caribbean,Chile,CHL,Ingreso alto
Americas,Latin America and the Caribbean,Colombia,COL,Ingreso mediano alto
Americas,Latin America and the Caribbean,Ecuador,ECU,Ingreso mediano alto
Americas,Latin America and the Caribbean,Falkland Islands (Malvinas),FLK,Ingreso alto
Americas,Latin America and the Caribbean,French Guiana,GUF,Ingreso alto
Americas,Latin America and the Caribbean,Guyana,GUY,Ingreso mediano alto
Americas,Latin America and the Caribbean,Paraguay,PRY,Ingreso mediano alto
Americas,Latin America and the Caribbean,Peru,PER,Ingreso mediano alto
Americas,Latin America and the Caribbean,Suriname,SUR,Ingreso mediano alto
Americas,Latin America and the Caribbean,Uruguay,URY,Ingreso alto
Americas,Latin America and the Caribbean,Venezuela (Bolivarian Republic of),VEN,Ingreso mediano alto
Americas,Northern America,Bermuda,BMU,Ingreso alto
Americas,Northern America,Canada,CAN,Ingreso alto
Americas,Northern America,Greenland,GRL,Ingreso alto
Americas,Northern America,Saint Pierre and Miquelon,SPM,Ingreso alto
Americas,Northern America,United States of America,USA,Ingreso alto
Asia,Central Asia,Kazakhstan,KAZ,Ingreso mediano alto
Asia,Central Asia,Kyrgyzstan,KGZ,Ingreso mediano bajo
